date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2024-01-19-05:00,10581,2771,2814,10579,2842,10428,10450,2835,10280,10580,10038,10531,10560,10039,10150,10410,10371,10370,10584,2823
2024-01-20-05:00,10581,2771,2814,10579,2842,10428,10450,10280,2835,10038,10580,10560,10531,10039,10371,10370,10150,10410,2823,10584
2024-01-22-09:00,10581,2771,2814,10579,2842,10428,10450,10280,10580,2835,10560,10370,10371,10038,10039,10531,2823,10150,10410,10584
2024-01-23-20:00,10581,2771,2814,10579,2842,2847,10450,10428,10560,10580,10280,10371,10038,10370,2835,10039,10578,10531,10582,10577
2024-01-25-16:00,10581,2771,2847,2814,2842,10579,10560,10428,10450,10580,10598,10038,10039,10146,10489,10371,10280,10578,10370,10582
2024-01-25-20:00,10581,2771,2847,2814,2842,10579,10560,10428,10450,10580,10598,10038,10039,10146,10489,10371,10280,10578,10370,10582
2024-01-26-16:00,10581,2771,2814,2847,10579,2842,10560,10428,10450,10580,10038,10598,10039,10146,10489,10371,10280,10370,2835,10578
2024-01-27-18:00,10581,2771,2814,10579,2842,10428,2847,10560,10450,10580,10038,10598,10039,10371,10370,10280,10146,2835,10578,10489
2024-01-28-16:00,10581,2771,10579,2842,2814,10428,10450,10560,2847,10580,10038,10370,10371,10598,10039,10280,2835,10578,10582,10417
2024-01-28-17:00,10581,2771,2842,10579,2814,10428,10450,10560,2847,10580,10038,10370,10371,10598,10039,10280,2835,10578,10582,10417
2024-01-29-21:00,10581,2771,2842,10450,2814,10428,10579,10560,10370,10371,2847,2863,10280,10580,10039,10598,10146,10038,2835,2595
2024-01-30-19:00,2771,10581,2842,10450,10428,2814,10370,2863,10371,10579,10560,10280,10146,10039,2595,2847,10417,10531,10580,10598
2024-01-31-21:40,2771,2842,10581,10450,10370,2863,10428,10371,2814,10560,10280,10146,10531,10039,2595,10579,10417,2330,10150,2770
2024-01-31-21:52,2771,2842,10581,10450,10370,2863,10428,10371,2814,10560,10280,10146,10531,10039,2595,10579,10417,2330,10150,2770
2024-01-31-22:32,2771,2842,10581,10450,10370,2863,10428,10371,2814,10560,10280,10146,10531,10039,2595,10579,10417,2330,10150,2770
2024-02-01-12:11,2771,2842,10581,10450,10370,10371,10428,2814,2863,10560,10280,10146,10039,10531,10579,10417,2330,10150,2595,2770
2024-02-01-21:59,2771,2842,10581,10450,10370,2814,10371,10428,2863,10560,10146,10280,10039,10531,10579,10417,2330,10150,2595,2770
2024-02-02-12:10,2771,2842,10581,10450,2814,10370,10428,10371,2863,10560,10146,10280,10039,10531,2330,10417,10579,10150,2770,2841
2024-02-02-22:00,2771,2842,10581,10450,2814,10370,10371,10428,2863,10560,10146,10280,10039,10531,2330,10417,10579,10150,2770,2841
2024-02-03-12:08,2771,2842,10581,10450,2814,10370,10371,10428,2863,10560,10146,10280,10039,10531,10150,10579,10417,2330,2770,2841
2024-02-03-22:00,2771,2842,10581,10450,2814,10370,10371,10428,2863,10560,10146,10280,10039,10531,10150,10579,10417,2330,2770,2841
2024-02-04-12:08,2771,2842,10450,10581,2814,10370,10371,10428,2863,10560,10146,10280,10039,10150,10531,10579,10417,2770,2841,20001
2024-02-04-22:00,2771,2842,10450,10581,2814,10370,10371,10428,2863,10560,10146,10280,10039,10150,10531,10579,10417,2770,2841,20001
2024-02-05-12:10,2771,2842,10450,10581,2814,10370,10371,10428,2863,10560,10608,10146,10280,10039,10150,10531,10579,2770,2841,10417
2024-02-05-21:59,2771,2842,10581,10450,2814,10370,10371,10428,2863,10560,10608,10146,10280,10039,10150,10531,10579,2770,2841,10417
2024-02-06-12:08,2771,2842,10581,10450,2814,10371,10370,10608,10428,10560,2863,10146,10280,10039,10150,2330,10531,2770,2841,10579
2024-02-06-21:59,2771,2842,10581,10450,2814,10371,10370,10608,10428,10560,2863,10146,10280,10039,10150,2330,2770,10531,2841,10579
2024-02-07-12:09,2771,2842,10581,10450,10608,10371,10428,10560,10370,2814,2863,2330,10280,10146,10150,10039,10531,2770,10579,2841
2024-02-07-22:00,2771,2842,10581,10450,10608,2863,10371,10428,10560,10370,2814,10150,2330,10280,10146,10039,10531,2770,10579,10417
2024-02-08-12:10,2771,2842,10581,2863,10450,10371,2814,10428,10370,10560,10608,10150,2330,10280,10146,10039,10531,2752,2770,10417
2024-02-08-21:59,2771,2842,10581,2863,10450,2814,10371,10428,10370,10560,10608,10150,2330,10280,10146,10039,10531,2752,10417,2770
2024-02-09-12:09,2771,2842,2863,10581,10450,2814,10371,10428,10150,10560,10370,10608,10280,10146,2330,2752,10039,10531,10417,10038
2024-02-09-22:00,2771,2842,2863,10581,10450,10616,10617,2814,10371,10428,10560,10150,10370,10608,10280,10146,10039,2330,2752,10531
2024-02-10-12:09,2771,10616,2842,10617,2863,10581,10450,2814,10371,10428,10370,10150,10560,10039,10608,10146,10280,2330,2752,10417
2024-02-10-22:00,2771,10616,10617,2842,2863,10581,10450,2814,10428,10371,10370,10560,10150,10039,10608,10146,10280,2330,2752,10417
2024-02-11-12:10,10616,2771,10617,2842,10581,2863,10450,10428,2814,10371,10370,10560,10039,10150,10608,10146,10280,20001,10417,2752
2024-02-11-22:00,10616,2771,10617,2842,10581,2863,10450,10428,2814,10371,10370,10560,10039,10150,10608,10146,10280,20001,10417,2752
2024-02-12-12:10,10616,10617,2771,2842,10581,10450,10428,2814,2863,10371,10370,10039,10608,10560,10150,10146,10280,20001,10038,10417
2024-02-12-22:00,10616,10617,2771,2842,10581,10450,10428,2814,2863,10371,10370,10039,10560,10608,10150,10146,10280,20001,10038,10417
2024-02-13-12:09,10617,10616,2771,2842,10581,10450,10428,2814,2863,10371,10370,10039,10560,10146,10608,10150,10280,10038,20001,2770
2024-02-13-21:59,10617,10616,2771,2842,10581,10450,10428,2814,2863,10371,10370,10039,10560,10146,10150,10280,10608,10038,20001,2770
2024-02-14-12:09,10617,10616,2771,2842,10581,10450,2814,10428,10371,2863,10370,10039,10560,10146,10038,10280,2770,20001,10150,2330
2024-02-14-22:00,10617,10616,2771,2842,10581,10450,2814,10428,10371,2863,10370,10039,10560,10146,10280,10038,2770,20001,10150,2841
2024-02-15-12:09,10617,10616,2771,2842,10581,10450,2814,10428,10371,2863,10370,10039,10560,10146,2841,10280,10038,20001,2770,10150
2024-02-15-22:00,10617,10616,2771,2842,10581,10450,2814,10371,10428,2863,10370,10039,10560,2841,10146,10280,20001,10038,2770,10150
2024-02-16-12:09,10617,10616,2771,2842,10581,10450,10371,2814,10428,10370,2863,10039,10560,2841,10146,20001,10280,10038,2770,2330
2024-02-16-22:00,10617,10616,2771,2842,10581,10371,10450,2814,10428,10370,2863,10039,10560,2841,10146,20001,10280,10038,2770,2330
2024-02-17-12:10,10617,10616,2771,2842,10581,10371,10450,2814,10428,10370,2863,10039,10560,2841,10146,20001,10038,10280,2770,2330
2024-02-17-22:00,10617,10616,2771,2842,10581,10371,10450,2814,10428,10370,2863,10039,10560,2841,10146,20001,10280,10038,2330,2770
2024-02-18-12:08,10616,10617,2771,2842,10581,10371,2814,10450,10428,10370,10039,2863,10146,2841,10560,10280,20001,10038,2330,2770
2024-02-18-22:00,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,10039,2863,10146,2841,10560,10280,20001,10038,2330,2770
2024-02-19-12:09,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,10039,2863,10146,10280,2841,10560,20001,10038,2330,2770
2024-02-19-22:00,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,10039,2863,10146,10280,2841,10560,20001,10038,2330,2770
2024-02-20-12:10,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,2863,10039,10146,10280,2841,10560,20001,10038,2330,2770
2024-02-20-22:00,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,2863,10039,10146,10280,10560,2841,20001,10038,2330,2770
2024-02-21-12:09,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,2863,10560,10039,10146,10280,10038,20001,2841,2330,2770
2024-02-21-22:00,10616,10617,2771,2842,10581,10371,10450,2814,10428,10370,2863,10560,10039,10146,10280,20001,10038,2330,2841,2770
2024-02-22-12:09,10616,10617,2771,2842,2814,10581,10371,10450,10428,10370,2863,10560,10039,10146,10280,20001,10038,2330,2841,2770
2024-02-22-21:59,10616,10617,2771,2842,2814,10581,10371,10450,10428,10370,2863,10560,10039,10146,10280,20001,10038,2330,2841,2770
2024-02-23-12:09,10616,2771,10617,2842,2814,10581,10371,10370,10428,10450,10560,2863,10039,10038,10146,10280,20001,2330,2770,2841
2024-02-23-22:00,10616,2771,10617,2842,2814,10371,10581,10370,10428,10450,10560,2863,10038,10039,10146,10280,20001,2330,20002,2841
2024-02-24-12:09,10616,2771,10617,2842,2814,10371,10581,10370,10428,10450,10038,10560,2863,10039,10146,10280,20001,20002,2841,2330
2024-02-24-22:00,10616,2771,10617,2842,2814,10371,10581,10370,10428,10450,10038,10560,2863,10039,10146,10280,20001,2841,20002,2330
2024-02-25-12:09,2771,10616,10617,2842,2814,10371,10581,10370,10038,10450,10428,2863,10560,10039,10280,10146,20001,20002,2841,2330
2024-02-25-22:00,2771,10616,10617,2842,2814,10371,10581,10370,10038,10450,10428,2863,10560,10039,10280,10146,20001,2841,20002,10417
2024-02-26-12:09,2771,10616,10617,2842,2814,10371,10581,10370,10038,10428,10450,2863,10280,10560,10146,10039,2841,20001,20002,10417
2024-02-26-22:00,2771,10616,10617,2842,2814,10371,10581,10370,10450,10428,10038,10622,2863,10560,10280,10146,10039,20002,2841,20001
2024-02-27-12:10,10616,2771,10617,2842,2814,10622,10581,10371,10450,10428,10370,10038,2863,10560,20002,10280,10146,10039,20001,2841
2024-02-27-22:00,10616,2771,10617,2842,10622,2814,10581,10371,10450,10428,10370,2863,10560,20002,10038,10280,10039,10620,10146,20001
2024-02-28-12:10,10616,10617,2771,10622,2842,10581,10450,10371,10428,10370,2814,20002,10560,2863,10620,10039,10038,2808,10150,2330
2024-02-28-21:59,10616,10617,2771,10622,2842,10581,10450,10371,10428,10370,2814,20002,10560,2863,10620,10039,20003,10038,20001,2808
2024-02-29-12:09,10616,10617,2771,10622,2842,10581,10450,10620,10371,10428,2814,10370,20002,2863,10560,20003,10039,20001,10150,2330
2024-02-29-22:00,10616,10617,2771,10622,2842,10581,10620,10450,10371,10428,2814,10370,20002,2863,10560,20003,20001,10039,10150,2330
2024-03-01-12:10,10616,10617,10622,2771,10620,2842,10581,10450,10371,10428,2814,10370,20002,10560,2863,20003,20001,10039,10150,1500
2024-03-01-21:59,10616,10617,10622,2771,2842,10620,10581,10450,10371,10428,2814,10370,20002,10560,2863,20003,20001,10039,10150,1500
2024-03-02-12:09,10616,10617,10622,2771,10620,2842,10581,10450,10371,10428,2814,10370,10560,20002,2863,10038,20003,20001,10039,1500
2024-03-02-22:00,10616,10617,10622,2771,2842,10620,10581,10450,10371,10428,2814,10370,10038,10560,20002,2863,20003,20001,10039,1500
2024-03-03-12:09,10616,10617,10622,2771,2842,10581,10620,10450,10038,10371,10428,2814,10370,20002,10560,20001,2863,20003,10039,1500
2024-03-03-21:59,10616,10617,10622,2771,2842,10620,10581,10038,10450,10371,10428,2814,10370,20002,10560,20001,2863,20003,10039,1500
2024-03-04-12:37,10616,10617,2771,10622,10038,2842,10620,10581,10450,10371,10428,2814,10370,20002,10560,20001,2863,20003,10039,10280
2024-03-04-21:59,10616,10617,2771,10622,10038,2842,10620,10581,10450,10371,10428,2814,10370,20002,10560,20001,2863,20003,10039,10280
2024-03-05-12:10,10616,10617,2771,10038,10622,10620,2842,10581,10450,10371,10428,2814,10370,20002,10560,20001,20003,2863,10039,10280
2024-03-05-22:00,10616,10617,2771,10038,10622,2842,10620,10581,10450,10371,10428,2814,10370,20002,10560,20001,20003,2863,10039,10150
